rank	input_address	rune_volume	tx_count
1.0	bnb1rv89nkw2x5ksvhf6jtqwqpke4qhh7jmudpvqmj	22327965.221432384	13900
2.0	bnb146ffk2lc7lepfelca5x9an9n2ek4hjw838rl5e	2879406.3385596257	1428
3.0	bnb1r6xls8kq0hr2ngjf7pu8d42f7jh35kqelzeywc	1165209.9992171924	382
4.0	bnb1j45kfzfywkqg95zqh0z8pddlqs2vze5jvhrjtc	1038259.6149263253	75
5.0	bnb1k5ypfc7azkkt8v792ucgldlfrlh0att5733lxc	690236.063342273	189
6.0	bnb13m6t2ymp365jffgmpxemqvcxt9zhjq3r2mtyhn	410191.66715051007	1054
7.0	bnb1yxx3grdj8jnxfy9yg98v56grumhmpvw0pml8ly	402418.8853905176	348
8.0	bnb1l3qz4kwumtthq8s7ze87rmvrn0cc42309wnyj5	393834.2020792807	71
9.0	bnb1ajrn6uqwp90jtq0eepm3gdjastspt8na8c6agu	281147.4456443279	33
10.0	bnb1ju6eehwue87tayz5u7pvuh33eke8l84dumf0mp	262840.1818964	3
11.0	bnb1m4mykwuvgjv8fea4vregpwwj6t8eyc7ldw0wud	230031.56607492323	625
12.0	bnb19ylh0zh8lwj7ga3cznxzy7tw8p04s47568v0l5	218909.3687890399	898
13.0	bnb1dyltg4dr4t35ptsdh70jeqee8842upkz4hrc20	212113.10028426067	15
14.0	bnb109465jrt9t75hf5x0nzwh0mxcxszxqn80qjxw4	211536.46932680643	44
15.0	bnb1nqckk6repqcx32a9suu3dgy2hcml0ws4j4tpan	207657.7925577019	275
16.0	bnb1patrmmvazgp5m09s4j7d3u9syzn6nelf4jc0k3	203938.37617928462	10
17.0	bnb1a08dxdmqz4v65u6ezcyssz4syyue5g0q95tm8m	177669.772996021	7
18.0	bnb13jpfyewrrfwncl0zmr3cv3vfralp6la4wwksyw	162440.7990333953	28
19.0	bnb1fshn793p347m8nratycr37ht3f0ndr5m8k6adc	154840.51	2
20.0	bnb1j987tqf9e5mxelnpav3srv4d7cv4vf2azv7z0k	149644.8846278748	8
21.0	bnb1azxegayhzpemvwh23wfl2vczt37vp2r9qltw44	148023.7731979244	15
22.0	bnb1j4h7pcmns3uav6ye64u3c5dgfnclhuat5pz642	130374.30702316832	201
23.0	bnb1r22z3r30899juyz682d6q5qjcdg49nzywrs60e	129704.3700415165	13
24.0	bnb1d6l9t2fuv5fz0rxa6n9rcwt7kg5afwj358skj6	121348.8513703219	12
25.0	bnb1vpeju6yh8lmewu06yezk5u8ha2usdhty6lzmkd	116173.75474965131	36
26.0	bnb1xqzhn6vpgk90qvd8g8z9ul6aufe2ryvgt7pnk9	102294.10280845601	9
27.0	bnb1dkpkyc9t0kuh2n5cmnalae3v63evyu9dmx4gkl	100070.81720208237	15
28.0	bnb1qmqj5yxz2y45fhmltk2ykrquzgjyy89xtduens	99535.00304577894	923
29.0	bnb19nc5gaaxfyxt7c798gzsa8pns5vgfz3fx2c6kx	87027.05396970476	193
30.0	bnb1n569app6rzgdlqwmu7vd2fvklzlndwu6mpe359	85000.0	2
31.0	bnb1ppulh3ucal4ers4stg9gfhmjtffltha9rzmmnh	84029.26244286829	6
32.0	bnb1ejkpz2k3wdxkmdvkc4aqn4f8qc8rh6cu4zc7zz	78889.19470397363	66
33.0	bnb1nf75ufznxcpu0wt5ll99fa9urxfa8rfyujxrdq	78065.3572548278	6
34.0	bnb1tjwspk64aj838ks2zx7njw7mvcu9ll5zafc65z	73679.2	1
35.0	bnb13epa408c40l05sprwauza9sxxd5yykszmznn22	72101.7106104877	3
36.0	bnb1upuy4dfemc2gechyaplaqsa2qa7gp0g4wa0ae0	71530.93074303333	68
37.0	bnb1pjexmh4fx5xdymlpfjtzvl23xnz00e6l2f79aa	69583.95505845302	58
38.0	bnb1vegxjgw0fp2hewzpsqnwarj94vxg8633davgpl	66108.28710276996	11
39.0	bnb1g6440r5l2w9uv7675jd7xx4pxe0pu9umkvgkhs	66104.432344762	3
40.0	bnb1d23lp8dzyznwvfx0ks0tjh7v74zrt32a8ax5j3	64051.767193240405	12
41.0	bnb104ufq70za3s8p5apzt34f8rtd6ege2j76q0cgu	59189.435063492405	3
42.0	bnb1dpc2uta2j4wysdh64e00qlxnltnnny424x2dvz	58374.24322835988	14
43.0	bnb1ht30k7gc259mvlydysl7x0sjt44x7xpl6sqpk5	58104.864025	1
44.0	bnb1hj0jrleesueq0xg2tv3fjm6lvt08v8c04k77rm	57720.68519188572	24
45.0	bnb1zzpfhlu2z3y0ne00wjtnzf0p7zll9xz3fnm9wd	57390.51034807431	7
46.0	bnb13wxfh9p0yyzz3k9r2vdr9pvhsx9yap3cz7t8hu	57170.96604452689	13
47.0	bnb1rugk96uaj3h5t6t7nc7xtqzx8qg8v9he90vqls	57003.67458791566	15
48.0	bnb1shk2qste8y4p0hdczqwh5ptxy3ugywvatf8s6j	56370.92771812949	4
49.0	bnb1859r478lkzxl3y33uht7dw75r5xmr53gh543vh	52054.99590575126	7
50.0	bnb13vedtsftqjywaj074dneknyr6adpxttrand20e	51905.984242442755	6
51.0	bnb1vhxgdg8k650awk8v9d3fayvuratx55fjra8hj9	50164.52	1
52.0	bnb1euqh7ruz26sa3hpj80kfqwla56drp3ln8sc0mv	48953.7225281879	3
53.0	bnb139cr9zurcygf9u39rvx7a2a4gc2mv4ux64sgg6	45503.5217722955	70
54.0	bnb1pfx8p02res67nn4gjwyjjpakpnt8l7j6kr333k	44913.76823162614	288
55.0	bnb180hp2ms3a862j4u0wm5l5gl4z9t33fddhfwea6	43843.796647549694	5
56.0	bnb1zmerr9c6j6lxw7rdplguwdnakstvgdvph6dgjr	43670.142660793004	5
57.0	bnb172ke82gk956su6dmkwzwtuw2xfv2j6ct0qpqe7	42211.5071299005	3
58.0	bnb1ys435y83gm2pu3hlj08w8mp8up44zj4y29uy8j	41562.0033829793	9
59.0	bnb1kjhqxrsy0kpvwnzprrsxjhr3dl69v657z6xlsz	40779.36360320795	8
60.0	bnb14kqxfewy6wec9h4xst7hz0fdazl6u90vnn3ct3	40703.39364516083	20
61.0	bnb1kq3x7h4tl6qrtgyvngzyynfl2825c5ejcjkzhg	36761.34	1
62.0	bnb15a7a0h3fj2x6ful4gh02ywj3w5t3uspzy628gr	36695.302806202046	14
63.0	bnb1x22qwpk4k0pr6sw79t6dn7mdxguc6dn8qj4e8c	34855.37292055068	90
64.0	bnb1jzcdaw4nl6kp3vs2z6wrmpvkttdj96t7p5xznv	34103.13350561	5
65.0	bnb1jrgf2fvkjfwzywrndrnykkc6p36mt3ytfzq95j	33804.51725098381	7
