rank	input_address	usd_volume	tx_count
1.0	bnb1rv89nkw2x5ksvhf6jtqwqpke4qhh7jmudpvqmj	10739497.749031676	13900
2.0	bnb146ffk2lc7lepfelca5x9an9n2ek4hjw838rl5e	1561614.9201110816	1428
3.0	bnb1j45kfzfywkqg95zqh0z8pddlqs2vze5jvhrjtc	549753.1748213131	75
4.0	bnb1r6xls8kq0hr2ngjf7pu8d42f7jh35kqelzeywc	522078.4467073598	382
5.0	bnb1k5ypfc7azkkt8v792ucgldlfrlh0att5733lxc	330584.43570559734	189
6.0	bnb1l3qz4kwumtthq8s7ze87rmvrn0cc42309wnyj5	260146.05573432884	71
7.0	bnb1yxx3grdj8jnxfy9yg98v56grumhmpvw0pml8ly	229741.173986594	348
8.0	bnb13m6t2ymp365jffgmpxemqvcxt9zhjq3r2mtyhn	220925.56933612487	1054
9.0	bnb1ajrn6uqwp90jtq0eepm3gdjastspt8na8c6agu	147769.43576726053	33
10.0	bnb109465jrt9t75hf5x0nzwh0mxcxszxqn80qjxw4	134518.03920643125	44
11.0	bnb1dyltg4dr4t35ptsdh70jeqee8842upkz4hrc20	117070.79920580321	15
12.0	bnb1ju6eehwue87tayz5u7pvuh33eke8l84dumf0mp	114711.76051577153	3
13.0	bnb1m4mykwuvgjv8fea4vregpwwj6t8eyc7ldw0wud	114169.8089178981	625
14.0	bnb13jpfyewrrfwncl0zmr3cv3vfralp6la4wwksyw	107187.55898575381	28
15.0	bnb19ylh0zh8lwj7ga3cznxzy7tw8p04s47568v0l5	104843.97403979868	898
16.0	bnb1nqckk6repqcx32a9suu3dgy2hcml0ws4j4tpan	103401.66534776721	275
17.0	bnb1patrmmvazgp5m09s4j7d3u9syzn6nelf4jc0k3	87669.55000772915	10
18.0	bnb1a08dxdmqz4v65u6ezcyssz4syyue5g0q95tm8m	79075.72416775966	7
19.0	bnb1fshn793p347m8nratycr37ht3f0ndr5m8k6adc	73663.2789369731	2
20.0	bnb1j987tqf9e5mxelnpav3srv4d7cv4vf2azv7z0k	68304.17279459191	8
21.0	bnb1azxegayhzpemvwh23wfl2vczt37vp2r9qltw44	64139.12248500883	15
22.0	bnb1xqzhn6vpgk90qvd8g8z9ul6aufe2ryvgt7pnk9	62534.818347607776	9
23.0	bnb1d6l9t2fuv5fz0rxa6n9rcwt7kg5afwj358skj6	61677.61864428287	12
24.0	bnb1dkpkyc9t0kuh2n5cmnalae3v63evyu9dmx4gkl	59063.65176381261	15
25.0	bnb1j4h7pcmns3uav6ye64u3c5dgfnclhuat5pz642	56041.41441455311	201
26.0	bnb1r22z3r30899juyz682d6q5qjcdg49nzywrs60e	55411.30556653235	13
27.0	bnb1vpeju6yh8lmewu06yezk5u8ha2usdhty6lzmkd	53709.35346338253	36
28.0	bnb1qmqj5yxz2y45fhmltk2ykrquzgjyy89xtduens	46823.978455293094	923
29.0	bnb1tjwspk64aj838ks2zx7njw7mvcu9ll5zafc65z	43239.03151737989	1
30.0	bnb1nf75ufznxcpu0wt5ll99fa9urxfa8rfyujxrdq	38916.098078695155	6
31.0	bnb19nc5gaaxfyxt7c798gzsa8pns5vgfz3fx2c6kx	38822.87026274954	193
32.0	bnb1hj0jrleesueq0xg2tv3fjm6lvt08v8c04k77rm	38144.492443674484	24
33.0	bnb1vegxjgw0fp2hewzpsqnwarj94vxg8633davgpl	37572.22917890546	11
34.0	bnb1ppulh3ucal4ers4stg9gfhmjtffltha9rzmmnh	36276.297300889106	6
35.0	bnb1ejkpz2k3wdxkmdvkc4aqn4f8qc8rh6cu4zc7zz	36075.875132100155	66
36.0	bnb1upuy4dfemc2gechyaplaqsa2qa7gp0g4wa0ae0	35577.0974290962	68
37.0	bnb13epa408c40l05sprwauza9sxxd5yykszmznn22	34984.60675601121	3
38.0	bnb1dpc2uta2j4wysdh64e00qlxnltnnny424x2dvz	32720.658848473133	14
39.0	bnb13vedtsftqjywaj074dneknyr6adpxttrand20e	32163.886044524894	6
40.0	bnb1d23lp8dzyznwvfx0ks0tjh7v74zrt32a8ax5j3	31852.671062503992	12
41.0	bnb1zzpfhlu2z3y0ne00wjtnzf0p7zll9xz3fnm9wd	29588.913296365594	7
42.0	bnb1859r478lkzxl3y33uht7dw75r5xmr53gh543vh	29553.524389310034	7
43.0	bnb1vhxgdg8k650awk8v9d3fayvuratx55fjra8hj9	29490.53056275158	1
44.0	bnb1g6440r5l2w9uv7675jd7xx4pxe0pu9umkvgkhs	29170.29290693796	3
45.0	bnb1n569app6rzgdlqwmu7vd2fvklzlndwu6mpe359	28827.161014852332	2
46.0	bnb1kq3x7h4tl6qrtgyvngzyynfl2825c5ejcjkzhg	28747.216522335682	1
47.0	bnb1pjexmh4fx5xdymlpfjtzvl23xnz00e6l2f79aa	27992.75531665176	58
48.0	bnb13wxfh9p0yyzz3k9r2vdr9pvhsx9yap3cz7t8hu	27547.48668013885	13
49.0	bnb1rugk96uaj3h5t6t7nc7xtqzx8qg8v9he90vqls	26615.447630688886	15
50.0	bnb139cr9zurcygf9u39rvx7a2a4gc2mv4ux64sgg6	25920.331969510953	70
51.0	bnb104ufq70za3s8p5apzt34f8rtd6ege2j76q0cgu	24521.159588312097	3
52.0	bnb1ys435y83gm2pu3hlj08w8mp8up44zj4y29uy8j	23787.846892772766	9
53.0	bnb1shk2qste8y4p0hdczqwh5ptxy3ugywvatf8s6j	21476.77159393578	4
54.0	bnb1ht30k7gc259mvlydysl7x0sjt44x7xpl6sqpk5	21388.68154476293	1
55.0	bnb172ke82gk956su6dmkwzwtuw2xfv2j6ct0qpqe7	21145.7581468556	3
56.0	bnb1euqh7ruz26sa3hpj80kfqwla56drp3ln8sc0mv	20022.776409527174	3
57.0	bnb15a7a0h3fj2x6ful4gh02ywj3w5t3uspzy628gr	20007.785207609086	14
58.0	bnb1pfx8p02res67nn4gjwyjjpakpnt8l7j6kr333k	19684.45697541024	288
59.0	bnb1kjhqxrsy0kpvwnzprrsxjhr3dl69v657z6xlsz	19556.396607735896	8
60.0	bnb1jzcdaw4nl6kp3vs2z6wrmpvkttdj96t7p5xznv	18413.743574208267	5
61.0	bnb14kqxfewy6wec9h4xst7hz0fdazl6u90vnn3ct3	18183.041267720273	20
62.0	bnb180hp2ms3a862j4u0wm5l5gl4z9t33fddhfwea6	17386.02600890151	5
63.0	bnb1x22qwpk4k0pr6sw79t6dn7mdxguc6dn8qj4e8c	17198.81508233902	90
64.0	bnb1zmerr9c6j6lxw7rdplguwdnakstvgdvph6dgjr	16798.16591949467	5
65.0	bnb1f0fmyr6z5r8yal370e250v5k33e97mml9grr74	16561.320102916092	13
66.0	bnb1vwq2as8p63jvgl64cxs73al04s7n6wp65nv9dl	16429.24920073014	2
67.0	bnb1fp7ru0nyka3hcxkj9mh8cyf49u63hgykcl7z9m	15874.56586526555	1
68.0	bnb1feaxx7l67s3nesvqezky92v9hme4gw236tg2wj	15836.645276275596	2
69.0	bnb1xv4jh43n50ujjxsmdrv9h6lzhjhjxwgrjqgtap	15636.231368422119	4
70.0	bnb1zzpkjq00cgy9wp72za2uq0vdr0prmgs0l5rfhc	15617.17735323229	50
71.0	bnb1ha7855up2crzleeuprurqeh3p28pgqvy5plvzc	15470.91314039327	1
72.0	bnb1hz8f8ejs6uy3fdyg99fk38pkmm3grxf2n643y4	14720.898059913052	6
73.0	bnb1446tz2kdvwg8mdwfzvgxm623t7gga76ful7heg	14683.288269478577	16
74.0	bnb1jrgf2fvkjfwzywrndrnykkc6p36mt3ytfzq95j	14474.658498603345	7
75.0	bnb1l48d0tg4dua7wwqf47cmuwemek00qwfvf26h5f	14242.219383560143	13
76.0	bnb1g5v5d26fpw7n3w7v5z2cg947kh82erqwmmzyzh	13339.511568724718	13
77.0	bnb1fkv9eeyk2gu6nxytjs0lv2lag2tetueq0mu5yl	13185.081464545305	1
78.0	bnb1pnrjfsmwqd34xlknp0wx8qd6qn5mvmaha2h86c	12618.83772188076	10
79.0	bnb1l3k02y4nvgsnvdg396lxr7cpqknqqrfhc8yjfq	12430.43049290229	2
80.0	bnb102l7dnmw7pjr5hzkws6qhe7fatkvlqmykhmsyh	12196.739608629363	2
81.0	bnb19xkyey9k9uzpqzvaq34lfms24tpnuaz9fg2eta	12148.957851418902	6
82.0	bnb1d97wehqr6a0xe9c8q55qvvavjv3cu798pvdmfp	12028.973483066926	8
83.0	bnb13qzpl88zrp06x86zvnmv459wqupk46ngtdve3f	11976.57625789346	9
84.0	bnb1wq6fpuksnhnl6r9e7v8r2zuszyf9wn6v3awlw4	11866.025745603209	4
85.0	bnb1jsq3jchduv922pj69rgsm39g5gfuh8m9jjwx2n	11527.424258818879	39
86.0	bnb1rwef62sv03258pxnhrdag5mrs3jhvcudkpq5g3	11204.41218199665	2
87.0	bnb120xgclkgfy9tprv3dy2wl7u9xzp6z5nw8jc2xm	10839.555324841582	134
88.0	bnb1f8zl50cggsyjtszm75lnskx2g563jvnnhjepmh	10789.23210409156	7
89.0	bnb1mxyy5k5gfmex5kr9tdh5tdxm96ynt2e9n4le9a	10766.046218496258	2
90.0	bnb1wy6k9uxe34tx3pxmwcpt80pvt2p4edme8045l2	10760.105527449086	17
91.0	bnb1j6xuq2k3hvh545gwa7kavvp9fhhlgux52tz9h5	10388.379649822167	28
92.0	bnb1cdvdqtfhekqaqtdaz0k8cnl0cu0fum8snjfvyx	10248.06723150906	6
